pol_A angle;pol_B angle;counts
0.0;0.0;5
0.0;22.5;217
0.0;45.0;757
0.0;67.5;1283
0.0;90.0;1463
0.0;112.5;1262
0.0;135.0;748
0.0;157.5;217
0.0;180.0;2
22.5;0.0;2
22.5;22.5;185
22.5;45.0;640
22.5;67.5;1083
22.5;90.0;1239
22.5;112.5;1085
22.5;135.0;640
22.5;157.5;185
22.5;180.0;3
45.0;0.0;4
45.0;22.5;111
45.0;45.0;368
45.0;67.5;640
45.0;90.0;753
45.0;112.5;645
45.0;135.0;372
45.0;157.5;110
45.0;180.0;7
67.5;0.0;5
67.5;22.5;32
67.5;45.0;110
67.5;67.5;188
67.5;90.0;220
67.5;112.5;186
67.5;135.0;107
67.5;157.5;32
67.5;180.0;2
90.0;0.0;3
90.0;22.5;5
90.0;45.0;5
90.0;67.5;4
90.0;90.0;3
90.0;112.5;2
90.0;135.0;2
90.0;157.5;5
90.0;180.0;5
112.5;0.0;2
112.5;22.5;32
112.5;45.0;109
112.5;67.5;186
112.5;90.0;220
112.5;112.5;185
112.5;135.0;108
112.5;157.5;32
112.5;180.0;1
135.0;0.0;4
135.0;22.5;110
135.0;45.0;375
135.0;67.5;640
135.0;90.0;750
135.0;112.5;649
135.0;135.0;374
135.0;157.5;111
135.0;180.0;8
157.5;0.0;3
157.5;22.5;186
157.5;45.0;625
157.5;67.5;1101
157.5;90.0;1285
157.5;112.5;1069
157.5;135.0;638
157.5;157.5;185
157.5;180.0;4
180.0;0.0;4
180.0;22.5;222
180.0;45.0;739
180.0;67.5;1257
180.0;90.0;1505
180.0;112.5;1290
180.0;135.0;759
180.0;157.5;219
180.0;180.0;4
